Longitude,Latitude,label,cluster_id,fold,mod_label
-69.820955,18.51054,presence,33,9.0,1
-69.9427,18.4845,presence,33,9.0,1
-70.110908,18.422306,presence,33,9.0,1
-69.909,18.532,presence,33,9.0,1
-69.8742,18.4887,presence,33,9.0,1
-70.366,18.25,presence,33,9.0,1
-70.42,18.24,presence,33,9.0,1
-69.849998,18.533333,presence,33,9.0,1
-71.416664,18.366667,presence,33,9.0,1
-71.599998,18.083332,presence,33,9.0,1
-70.4094,18.9421,presence,33,9.0,1
-70.75,19.75,presence,33,9.0,1
-70.900002,19.549999,presence,33,9.0,1
-70.783333,19.533333,presence,33,9.0,1
-70.599998,19.5,presence,33,9.0,1
-70.449997,19.5,presence,33,9.0,1
-70.916672,19.41667,presence,33,9.0,1
-70.699997,19.450001,presence,33,9.0,1
-70.633331,19.450001,presence,33,9.0,1
-70.75,19.333332,presence,33,9.0,1
-70.415672,18.94989,presence,33,9.0,1
-70.581007,19.434947,presence,33,9.0,1
-70.329262,18.280229,presence,33,9.0,1
-70.508774,18.54882,presence,33,9.0,1
-70.199997,18.549999,presence,33,9.0,1
-69.982924,18.42886,presence,33,9.0,1
-61.006579,13.994289,presence,9,8.0,1
-65.66,18.329,presence,33,9.0,1
-65.7353,18.2136,presence,33,9.0,1
-65.828,18.154,presence,33,9.0,1
-65.8794,18.0506,presence,33,9.0,1
-66.112,18.355,presence,33,9.0,1
-66.493,18.13,presence,33,9.0,1
-66.727,18.475,presence,33,9.0,1
-66.158,18.388,presence,33,9.0,1
-66.614,18.017,presence,33,9.0,1
-66.043053,18.235221,presence,33,9.0,1
-65.975075,18.142589,presence,33,9.0,1
-66.0575,18.391,presence,33,9.0,1
-67.2526,18.3409,presence,33,9.0,1
-66.8448,18.4837,presence,33,9.0,1
-66.827,18.49,presence,33,9.0,1
-66.07,18.453,presence,33,9.0,1
-66.251,18.303,presence,33,9.0,1
-66.703,18.272,presence,33,9.0,1
-67.14,18.208,presence,33,9.0,1
-66.3063,18.1866,presence,33,9.0,1
-67.1456,18.0866,presence,33,9.0,1
-65.963,18.383,presence,33,9.0,1
-66.616,18.019,presence,33,9.0,1
-66.113505,18.177087,presence,33,9.0,1
-65.899115,18.375053,presence,33,9.0,1
-66.254439,18.442973,presence,33,9.0,1
-65.957165,18.380266,presence,33,9.0,1
-66.317353,18.341328,presence,33,9.0,1
-66.113591,18.35754,presence,33,9.0,1
-66.007419,18.354444,presence,33,9.0,1
-66.062536,17.963547,presence,33,9.0,1
-65.87079,18.18304,presence,33,9.0,1
-66.484723,18.430596,presence,33,9.0,1
-66.825728,18.48661,presence,33,9.0,1
-66.718798,18.471794,presence,33,9.0,1
-67.14572,18.201142,presence,33,9.0,1
-66.114278,17.98355,presence,33,9.0,1
-67.145891,18.085649,presence,33,9.0,1
-66.614628,18.012039,presence,33,9.0,1
-66.593299,18.218671,presence,33,9.0,1
-66.250749,18.389877,presence,33,9.0,1
-66.276498,18.471875,presence,33,9.0,1
-67.024355,18.501913,presence,33,9.0,1
-65.828733,18.150582,presence,33,9.0,1
-67.042108,18.08059,presence,33,9.0,1
-66.057945,18.000799,presence,33,9.0,1
-66.155724,18.39856,presence,33,9.0,1
-66.492119,18.127182,presence,33,9.0,1
-66.614059,18.011078,presence,33,9.0,1
-66.0485,18.234121,presence,33,9.0,1
-66.105721,18.466333,presence,33,9.0,1
-81.38222,19.300127,presence,24,9.0,1
-79.481478,9.070738,presence,2,10.0,1
-79.500829,9.048573,presence,2,10.0,1
-79.514265,9.072433,presence,2,10.0,1
-79.517784,8.9936,presence,2,10.0,1
-79.900489,9.358627,presence,2,10.0,1
-80.285733,8.462185,presence,2,10.0,1
-79.408507,9.090655,presence,2,10.0,1
-79.290576,9.081502,presence,2,10.0,1
-79.779289,8.789107,presence,2,10.0,1
-79.6303,8.8825,presence,2,10.0,1
-80.091133,9.027509,presence,2,10.0,1
-80.0,9.0,presence,2,10.0,1
-82.73333,8.716667,presence,2,10.0,1
-80.283333,8.633333,presence,2,10.0,1
-80.449997,8.6,presence,2,10.0,1
-80.366669,8.516667,presence,2,10.0,1
-80.650002,8.466667,presence,2,10.0,1
-80.166664,8.383333,presence,2,10.0,1
-80.566666,8.366667,presence,2,10.0,1
-80.550003,8.25,presence,2,10.0,1
-79.25,9.183333,presence,2,10.0,1
-82.23333,8.5,presence,2,10.0,1
-80.599998,8.43333,presence,2,10.0,1
-61.752,12.016,presence,9,8.0,1
-61.695,12.189,presence,9,8.0,1
-61.693,12.133,presence,9,8.0,1
-61.703,12.043,presence,9,8.0,1
-61.671,12.042,presence,9,8.0,1
-61.6392,12.2183,presence,9,8.0,1
-61.7021,12.193,presence,9,8.0,1
-61.625,12.123,presence,9,8.0,1
-61.7431,12.0563,presence,9,8.0,1
-61.7739,12.0006,presence,9,8.0,1
-4.025917,5.33643,presence,13,7.0,1
-3.983073,5.350274,presence,13,7.0,1
-3.8676,6.09959,presence,13,7.0,1
-7.569,9.51,presence,13,7.0,1
-87.181377,13.303101,presence,18,4.0,1
-87.026407,15.731485,presence,18,4.0,1
-87.63,14.45,presence,18,4.0,1
